Plant,S,FWB,E,Class,Network
bean,61.391666666666666,29.191666666666666,73.36666666666667,AVERAGE,
cucumber,72.98333333333335,53.84166666666667,84.89999999999999,AVERAGE,
kiwi,83.11666666666667,72.84166666666665,93.94166666666666,AVERAGE,
loquat,72.01666666666667,55.81666666666667,91.58333333333334,AVERAGE,
peach,75.875,53.68333333333334,89.80833333333332,AVERAGE,
pepper,65.88333333333333,35.958333333333336,77.75,AVERAGE,
plum,68.24166666666667,43.59166666666667,79.76666666666667,AVERAGE,
tomato,78.99166666666666,66.59166666666665,90.225,AVERAGE,
watermelon,82.78333333333335,68.45833333333333,88.7,AVERAGE,
zucchini,79.89999999999999,67.30000000000001,92.175,AVERAGE,
zucchini,88.2,83.3,98.6,Bean_S_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Bean_S_2WORST,SINet
zucchini,88.2,83.3,98.6,Bean_FWB_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Bean_FWB_2WORST,SINet
zucchini,88.2,83.3,98.6,Bean_E_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Bean_E_2WORST,SINet
zucchini,88.2,83.3,98.6,Cucumber_S_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Cucumber_S_2WORST,SINet
zucchini,88.2,83.3,98.6,Cucumber_FWB_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Cucumber_FWB_2WORST,SINet
zucchini,88.2,83.3,98.6,Cucumber_E_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Cucumber_E_2WORST,SINet
zucchini,88.2,83.3,98.6,Kiwi_S_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Kiwi_S_2WORST,SINet
zucchini,88.2,83.3,98.6,Kiwi_FWB_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Kiwi_FWB_2WORST,SINet
zucchini,88.2,83.3,98.6,Kiwi_E_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Kiwi_E_2WORST,SINet
zucchini,88.2,83.3,98.6,Loquat_S_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Loquat_S_2WORST,SINet
zucchini,88.2,83.3,98.6,Loquat_FWB_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Loquat_FWB_2WORST,SINet
zucchini,88.2,83.3,98.6,Loquat_E_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Loquat_E_2WORST,SINet
zucchini,88.2,83.3,98.6,Peach_S_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Peach_S_2WORST,SINet
zucchini,88.2,83.3,98.6,Peach_FWB_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Peach_FWB_2WORST,SINet
zucchini,88.2,83.3,98.6,Peach_E_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Peach_E_2WORST,SINet
zucchini,88.2,83.3,98.6,Pepper_S_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Pepper_S_2WORST,SINet
zucchini,88.2,83.3,98.6,Pepper_FWB_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Pepper_FWB_2WORST,SINet
zucchini,88.2,83.3,98.6,Pepper_E_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Pepper_E_2WORST,SINet
zucchini,88.2,83.3,98.6,Plum_S_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Plum_S_2WORST,SINet
zucchini,88.2,83.3,98.6,Plum_FWB_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Plum_FWB_2WORST,SINet
zucchini,88.2,83.3,98.6,Plum_E_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Plum_E_2WORST,SINet
zucchini,88.2,83.3,98.6,Tomato_S_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Tomato_S_2WORST,SINet
zucchini,88.2,83.3,98.6,Tomato_FWB_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Tomato_FWB_2WORST,SINet
zucchini,88.2,83.3,98.6,Tomato_E_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Tomato_E_2WORST,SINet
zucchini,88.2,83.3,98.6,Watermelon_S_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Watermelon_S_2WORST,SINet
zucchini,88.2,83.3,98.6,Watermelon_FWB_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Watermelon_FWB_2WORST,SINet
zucchini,88.2,83.3,98.6,Watermelon_E_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Watermelon_E_2WORST,SINet
zucchini,88.2,83.3,98.6,Zucchini_S_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Zucchini_S_2WORST,SINet
zucchini,88.2,83.3,98.6,Zucchini_FWB_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Zucchini_FWB_2WORST,SINet
zucchini,88.2,83.3,98.6,Zucchini_E_2BEST,RISNet
zucchini,58.599999999999994,24.7,64.5,Zucchini_E_2WORST,SINet
