Plant,S,FWB,E
bean,0.6153076923076923,0.29930769230769233,0.7436153846153846
pepper,0.6633076923076923,0.3706923076923077,0.7836153846153846
plum,0.6890000000000001,0.44853846153846155,0.8076923076923077
loquat,0.7260769230769231,0.5691538461538461,0.9215384615384615
cucumber,0.7363076923076922,0.5508461538461538,0.8543846153846153
peach,0.7614615384615385,0.5418461538461539,0.8980769230769231
tomato,0.7943846153846154,0.6742307692307693,0.9071538461538461
zucchini,0.8022307692307693,0.6795384615384615,0.9253846153846154
watermelon,0.8346153846153845,0.6976923076923077,0.8935384615384615
kiwi,0.8350000000000001,0.7361538461538462,0.9422307692307693
