Plant,S,FWB,E,Class,Network
bean,64.35384615,32.23846154,75.83076923,AVERAGE,
cucumber,77.71538462,63.56923077,91.08461538,AVERAGE,
bean,76.1,54,92,Bean_S_1stB,RISNet
loquat,74.86923077,61.78461538,93.80769231,AVERAGE,
peach,76.98461538,59.24615385,90.31538462,AVERAGE,
bean,74.6,55,87.5,Bean_S_2ndB,HitNet
bean,68.6,28.5,69.7,Bean_S_3rdB,ZoomNet
tomato,82.53076923,73.28461538,94.7,AVERAGE,
watermelon,87.37692308,76.76153846,93.2,AVERAGE,
zucchini,83.33846154,74.03846154,96.32307692,AVERAGE,
bean,58.5,21.6,67,Bean_S_3rdW,FSPNet
bean,58.3,19.8,53,Bean_S_2ndW,PreyNet
bean,57.1,8.5,49.6,Bean_S_1stW,SINet
bean,74.6,55,87.5,Bean_FWB_1stB,HitNet
bean,76.1,54,92,Bean_FWB_2ndB,RISNet
bean,63.9,41.7,82.3,Bean_FWB_3rdB,PopNet
bean,58.5,21.6,67,Bean_FWB_3rdW,FSPNet
bean,58.3,19.8,53,Bean_FWB_2ndW,PreyNet
bean,57.1,8.5,49.6,Bean_FWB_1stW,SINet
bean,76.1,54,92,Bean_E_1stB,RISNet
bean,61.9,28.2,89.5,Bean_E_2ndB,PFNet
bean,66.6,34.8,87.8,Bean_E_3rdB,DaCOD
bean,58.5,21.6,67,Bean_E_3rdW,FSPNet
bean,58.3,19.8,53,Bean_E_2ndW,PreyNet
bean,57.1,8.5,49.6,Bean_E_1stW,SINet
kiwi,85.80769231,79.76153846,96.69230769,AVERAGE,
kiwi,91.1,87.8,98.8,Kiwi_S_1stB,HitNet
kiwi,90.4,87.8,99,Kiwi_S_2ndB,PopNet
cucumber,85.3,79.6,97,Cucumber_S_1stB,RISNet
cucumber,85.1,78.3,96.4,Cucumber_S_2ndB,HitNet
cucumber,84.1,75.8,95.9,Cucumber_S_3rdB,PopNet
cucumber,74,56.9,93.8,Cucumber_S_3rdW,PFNet
cucumber,72.4,51.4,85.4,Cucumber_S_2ndW,SINet
cucumber,54.6,14.9,60.4,Cucumber_S_1stW,OCENet
cucumber,85.3,79.6,97,Cucumber_FWB_1stB,RISNet
cucumber,85.1,78.3,96.4,Cucumber_FWB_2ndB,HitNet
cucumber,84.1,75.8,95.9,Cucumber_FWB_3rdB,PopNet
cucumber,74,56.9,93.8,Cucumber_FWB_3rdW,PFNet
cucumber,72.4,51.4,85.4,Cucumber_FWB_2ndW,SINet
cucumber,54.6,14.9,60.4,Cucumber_FWB_1stW,OCENet
cucumber,85.3,79.6,97,Cucumber_E_1stB,RISNet
cucumber,85.1,78.3,96.4,Cucumber_E_2ndB,HitNet
cucumber,84.1,75.8,95.9,Cucumber_E_3rdB,PopNet
cucumber,81.4,70,91.9,Cucumber_E_3rdW,RISNet_ND
cucumber,72.4,51.4,85.4,Cucumber_E_2ndW,SINet
cucumber,54.6,14.9,60.4,Cucumber_E_1stW,OCENet
kiwi,90.2,86.4,98.3,Kiwi_S_3rdB,PreyNet
kiwi,81.9,72.9,95.9,Kiwi_S_3rdW,FSPNet
kiwi,81.5,72.4,96.6,Kiwi_S_2ndW,SINet
kiwi,74.1,56.3,85.2,Kiwi_S_1stW,OCENet
kiwi,91.1,87.8,98.8,Kiwi_FWB_1stB,HitNet
kiwi,90.4,87.8,99,Kiwi_FWB_2ndB,PopNet
kiwi,89.9,87.5,98.4,Kiwi_FWB_3rdB,RISNet
kiwi,81.9,72.9,95.9,Kiwi_FWB_3rdW,FSPNet
kiwi,81.5,72.4,96.6,Kiwi_FWB_2ndW,SINet
kiwi,74.1,56.3,85.2,Kiwi_FWB_1stW,OCENet
kiwi,90.4,87.8,99,Kiwi_E_1stB,PopNet
kiwi,91.1,87.8,98.8,Kiwi_E_2ndB,HitNet
kiwi,87.3,85,98.5,Kiwi_E_3rdB,SINet_V2
kiwi,82.7,75.5,96.3,Kiwi_E_3rdW,PFNet
kiwi,81.9,72.9,95.9,Kiwi_E_2ndW,FSPNet
kiwi,74.1,56.3,85.2,Kiwi_E_1stW,OCENet
pepper,68.25384615,43.73076923,83.36153846,AVERAGE,
pepper,77.6,62.5,96,Pepper_S_1stB,RISNet
loquat,85.3,80.3,98.2,Loquat_S_1stB,RISNet
loquat,85.1,80.8,98.8,Loquat_S_2ndB,HitNet
loquat,83.4,78.2,99.1,Loquat_S_3rdB,PopNet
loquat,66.9,41.2,85.8,Loquat_S_3rdW,FSPNet
loquat,65.4,39.1,81,Loquat_S_2ndW,SINet
loquat,52.6,12.6,78,Loquat_S_1stW,OCENet
loquat,85.1,80.8,98.8,Loquat_FWB_1stB,HitNet
loquat,85.3,80.3,98.2,Loquat_FWB_2ndB,RISNet
loquat,83.4,78.2,99.1,Loquat_FWB_3rdB,PopNet
loquat,66.9,41.2,85.8,Loquat_FWB_3rdW,FSPNet
loquat,65.4,39.1,81,Loquat_FWB_2ndW,SINet
loquat,52.6,12.6,78,Loquat_FWB_1stW,OCENet
loquat,83.4,78.2,99.1,Loquat_E_1stB,PopNet
loquat,79.7,70.1,99,Loquat_E_2ndB,RISNet_ND
loquat,85.1,80.8,98.8,Loquat_E_3rdB,HitNet
loquat,66.9,41.2,85.8,Loquat_E_3rdW,FSPNet
loquat,65.4,39.1,81,Loquat_E_2ndW,SINet
loquat,52.6,12.6,78,Loquat_E_1stW,OCENet
peach,86.6,77.5,98.1,Peach_S_1stB,RISNet
peach,86.1,76.3,96.6,Peach_S_2ndB,HitNet
peach,84.6,74.8,96.5,Peach_S_3rdB,PreyNet
peach,71.7,50.5,84.7,Peach_S_3rdW,FSPNet
peach,67.3,36.4,75.4,Peach_S_2ndW,SINet
peach,57.8,15.5,66.4,Peach_S_1stW,OCENet
peach,86.6,77.5,98.1,Peach_FWB_1stB,RISNet
peach,86.1,76.3,96.6,Peach_FWB_2ndB,HitNet
peach,84.6,74.8,96.5,Peach_FWB_3rdB,PreyNet
peach,71.7,50.5,84.7,Peach_FWB_3rdW,FSPNet
peach,67.3,36.4,75.4,Peach_FWB_2ndW,SINet
peach,57.8,15.5,66.4,Peach_FWB_1stW,OCENet
peach,86.6,77.5,98.1,Peach_E_1stB,RISNet
peach,83.9,73.5,96.6,Peach_E_2ndB,PopNet
