Network,Class,S,FWB,E,MAE,Plant
PreyNet_w_PVT,AVERAGE,0.855,0.78,0.966,0.008,
PreyNet_w_PVT,,0.769,0.667,0.942,0.004,bean
PreyNet_w_PVT,,0.853,0.795,0.977,0.006,cucumber
PreyNet_w_PVT,,0.912,0.884,0.992,0.006,kiwi
PreyNet_w_PVT,,0.854,0.82,0.989,0.004,loquat
PreyNet_w_PVT,,0.867,0.804,0.987,0.002,peach
PreyNet_w_PVT,,0.742,0.557,0.893,0.014,pepper
PreyNet_w_PVT,,0.801,0.658,0.935,0.019,plum
PreyNet_w_PVT,,0.858,0.788,0.968,0.011,tomato
PreyNet_w_PVT,,0.924,0.889,0.977,0.002,watermelon
PreyNet_w_PVT,,0.884,0.834,0.987,0.006,zucchini
