Network,Class,S,FWB,E,MAE,Plant
RISNet_NoDepth,AVERAGE,0.853,0.77,0.967,0.008,
RISNet_NoDepth,,0.75,0.603,0.925,0.004,bean
RISNet_NoDepth,,0.853,0.76,0.96,0.007,cucumber
RISNet_NoDepth,,0.904,0.876,0.985,0.007,kiwi
RISNet_NoDepth,,0.854,0.807,0.991,0.005,loquat
RISNet_NoDepth,,0.862,0.775,0.983,0.003,peach
RISNet_NoDepth,,0.749,0.564,0.911,0.013,pepper
RISNet_NoDepth,,0.806,0.674,0.963,0.022,plum
RISNet_NoDepth,,0.869,0.812,0.976,0.01,tomato
RISNet_NoDepth,,0.931,0.905,0.981,0.002,watermelon
RISNet_NoDepth,,0.861,0.784,0.975,0.007,zucchini
