Network,Class,S,FWB,E,MAE,Plant
SINet_V2_w_PVT,AVERAGE,0.826,0.734,0.97,0.011,
SINet_V2_w_PVT,,0.718,0.526,0.958,0.005,bean
SINet_V2_w_PVT,,0.816,0.742,0.964,0.009,cucumber
SINet_V2_w_PVT,,0.873,0.831,0.983,0.01,kiwi
SINet_V2_w_PVT,,0.768,0.672,0.969,0.009,loquat
SINet_V2_w_PVT,,0.794,0.663,0.963,0.004,peach
SINet_V2_w_PVT,,0.733,0.554,0.947,0.017,pepper
SINet_V2_w_PVT,,0.757,0.594,0.961,0.029,plum
SINet_V2_w_PVT,,0.848,0.775,0.972,0.012,tomato
SINet_V2_w_PVT,,0.909,0.845,0.984,0.003,watermelon
SINet_V2_w_PVT,,0.849,0.782,0.979,0.008,zucchini
