CUDA_DEVICE=/dev/nvidia/0
Wed Jun 25 09:47:33 2025       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 470.239.06   Driver Version: 470.239.06   CUDA Version: 11.4     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  Tesla P40           Off  | 00000000:82:00.0 Off |                    0 |
| N/A   30C    P0    46W / 250W |      0MiB / 22919MiB |      1%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
Module load: anaconda/3-2024.10-1
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/condabin/conda
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/bin/conda
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/bin/conda-env
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/bin/activate
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/bin/deactivate
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/etc/profile.d/conda.sh
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/etc/fish/conf.d/conda.fish
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/shell/condabin/Conda.psm1
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/shell/condabin/conda-hook.ps1
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/etc/profile.d/conda.csh
no change     /home/aaron.dichoso/.bashrc
No action taken.
/home/aaron.dichoso/.conda/envs/RISNet/lib/python3.11/site-packages/torch/utils/data/dataloader.py:560: UserWarning: This DataLoader will create 20 worker processes in total. Our suggested max number of worker in current system is 8, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
--------------------training----------------------
/home/aaron.dichoso/.conda/envs/RISNet/lib/python3.11/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='mean' instead.
  warnings.warn(warning.format(ret))
[2025-06-25 09:49:02.848836] => [Epoch Num: 001/100] => [Global Step: 0000/0168] => [Loss: 2.7163]
[2025-06-25 09:50:13.739807] => [Epoch Num: 001/100] => [Global Step: 0020/0168] => [Loss: 2.6779]
[2025-06-25 09:51:24.728124] => [Epoch Num: 001/100] => [Global Step: 0040/0168] => [Loss: 2.6596]
[2025-06-25 09:52:35.731414] => [Epoch Num: 001/100] => [Global Step: 0060/0168] => [Loss: 2.6254]
[2025-06-25 09:53:46.618920] => [Epoch Num: 001/100] => [Global Step: 0080/0168] => [Loss: 2.5872]
[2025-06-25 09:54:57.737919] => [Epoch Num: 001/100] => [Global Step: 0100/0168] => [Loss: 2.5308]
[2025-06-25 09:56:08.631345] => [Epoch Num: 001/100] => [Global Step: 0120/0168] => [Loss: 2.5226]
[2025-06-25 09:57:19.648898] => [Epoch Num: 001/100] => [Global Step: 0140/0168] => [Loss: 2.4707]
[2025-06-25 09:58:30.445747] => [Epoch Num: 001/100] => [Global Step: 0160/0168] => [Loss: 2.4556]
[2025-06-25 09:59:01.519648] => [Epoch Num: 002/100] => [Global Step: 0000/0168] => [Loss: 2.4516]
[2025-06-25 10:00:12.683690] => [Epoch Num: 002/100] => [Global Step: 0020/0168] => [Loss: 2.4222]
[2025-06-25 10:01:23.718277] => [Epoch Num: 002/100] => [Global Step: 0040/0168] => [Loss: 2.3979]
[2025-06-25 10:02:34.893271] => [Epoch Num: 002/100] => [Global Step: 0060/0168] => [Loss: 2.3762]
[2025-06-25 10:03:46.010094] => [Epoch Num: 002/100] => [Global Step: 0080/0168] => [Loss: 2.3631]
[2025-06-25 10:04:56.956783] => [Epoch Num: 002/100] => [Global Step: 0100/0168] => [Loss: 2.3486]
[2025-06-25 10:06:08.157824] => [Epoch Num: 002/100] => [Global Step: 0120/0168] => [Loss: 2.3340]
[2025-06-25 10:07:19.035624] => [Epoch Num: 002/100] => [Global Step: 0140/0168] => [Loss: 2.3173]
[2025-06-25 10:08:30.298238] => [Epoch Num: 002/100] => [Global Step: 0160/0168] => [Loss: 2.3162]
[2025-06-25 10:09:01.483065] => [Epoch Num: 003/100] => [Global Step: 0000/0168] => [Loss: 2.3064]
[2025-06-25 10:10:12.260662] => [Epoch Num: 003/100] => [Global Step: 0020/0168] => [Loss: 2.2916]
[2025-06-25 10:11:23.306505] => [Epoch Num: 003/100] => [Global Step: 0040/0168] => [Loss: 2.2824]
