CUDA_DEVICE=/dev/nvidia/0
Sat Jul  5 17:37:22 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.124.06             Driver Version: 570.124.06     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          Off |   00000000:DB:00.0 Off |                    0 |
| N/A   37C    P0             61W /  400W |       1MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Module load: anaconda/3-2023.07-2
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/condabin/conda
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/bin/conda
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/bin/conda-env
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/bin/activate
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/bin/deactivate
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/etc/profile.d/conda.sh
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/etc/fish/conf.d/conda.fish
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/shell/condabin/Conda.psm1
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/shell/condabin/conda-hook.ps1
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/lib/python3.11/site-packages/xontrib/conda.xsh
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/etc/profile.d/conda.csh
no change     /home/aaron.dichoso/.bashrc
No action taken.
/home/aaron.dichoso/.conda/envs/OCETraining/lib/python3.13/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/aaron.dichoso/.conda/envs/OCETraining/lib/python3.13/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet50_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet50_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
/home/aaron.dichoso/.conda/envs/OCETraining/lib/python3.13/site-packages/torch/utils/data/dataloader.py:626: UserWarning: This DataLoader will create 12 worker processes in total. Our suggested max number of worker in current system is 8, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
/home/aaron.dichoso/.conda/envs/OCETraining/lib/python3.13/site-packages/torch/optim/lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
CuDNN 90501
TORCH 2.7.1+cu126
CUDA 12.6
Ikou!
Generator learning rate: 2.5e-05
Discriminator learning rate: 1e-05
/scratch1/aaron.dichoso/Networks/OCENet/model/ResNet_models.py:66: UserWarning: `nn.functional.upsample` is deprecated. Use `nn.functional.interpolate` instead.
  self.sal_init = F.upsample(self.sal_init, size=(x.shape[2], x.shape[3]), mode='bilinear', align_corners=True)
/scratch1/aaron.dichoso/Networks/OCENet/model/ResNet_models.py:67: UserWarning: `nn.functional.upsample` is deprecated. Use `nn.functional.interpolate` instead.
  self.sal_ref = F.upsample(self.sal_ref, size=(x.shape[2], x.shape[3]), mode='bilinear', align_corners=True)
/home/aaron.dichoso/.conda/envs/OCETraining/lib/python3.13/site-packages/torch/nn/_reduction.py:51: UserWarning: size_average and reduce args will be deprecated, please use reduction='mean' instead.
  warnings.warn(warning.format(ret))
2025-07-05 17:40:22.774607 Epoch [001/050], Step [0010/0575], COD Loss: 1.0968, OCE Loss: 0.7807
2025-07-05 17:40:48.454522 Epoch [001/050], Step [0020/0575], COD Loss: 1.0792, OCE Loss: 0.7729
2025-07-05 17:41:14.239056 Epoch [001/050], Step [0030/0575], COD Loss: 1.0334, OCE Loss: 0.7652
2025-07-05 17:41:39.917083 Epoch [001/050], Step [0040/0575], COD Loss: 0.9999, OCE Loss: 0.7588
2025-07-05 17:42:05.686819 Epoch [001/050], Step [0050/0575], COD Loss: 0.9334, OCE Loss: 0.7466
2025-07-05 17:42:31.639255 Epoch [001/050], Step [0060/0575], COD Loss: 0.9005, OCE Loss: 0.7358
2025-07-05 17:42:57.343028 Epoch [001/050], Step [0070/0575], COD Loss: 0.8892, OCE Loss: 0.7261
2025-07-05 17:43:23.071904 Epoch [001/050], Step [0080/0575], COD Loss: 0.8920, OCE Loss: 0.7166
2025-07-05 17:43:48.815548 Epoch [001/050], Step [0090/0575], COD Loss: 0.8975, OCE Loss: 0.7073
2025-07-05 17:44:14.571372 Epoch [001/050], Step [0100/0575], COD Loss: 0.8333, OCE Loss: 0.6984
2025-07-05 17:44:40.360888 Epoch [001/050], Step [0110/0575], COD Loss: 0.8159, OCE Loss: 0.6899
2025-07-05 17:45:06.300363 Epoch [001/050], Step [0120/0575], COD Loss: 0.8042, OCE Loss: 0.6815
2025-07-05 17:45:32.018511 Epoch [001/050], Step [0130/0575], COD Loss: 0.7647, OCE Loss: 0.6733
2025-07-05 17:45:57.846697 Epoch [001/050], Step [0140/0575], COD Loss: 0.7550, OCE Loss: 0.6650
2025-07-05 17:46:23.633019 Epoch [001/050], Step [0150/0575], COD Loss: 0.7128, OCE Loss: 0.6566
2025-07-05 17:46:49.419887 Epoch [001/050], Step [0160/0575], COD Loss: 0.6300, OCE Loss: 0.6484
2025-07-05 17:47:15.242884 Epoch [001/050], Step [0170/0575], COD Loss: 0.5768, OCE Loss: 0.6391
2025-07-05 17:47:41.168015 Epoch [001/050], Step [0180/0575], COD Loss: 0.5708, OCE Loss: 0.6296
2025-07-05 17:48:07.024513 Epoch [001/050], Step [0190/0575], COD Loss: 0.6315, OCE Loss: 0.6184
2025-07-05 17:48:32.841932 Epoch [001/050], Step [0200/0575], COD Loss: 0.7045, OCE Loss: 0.6076
2025-07-05 17:48:58.651354 Epoch [001/050], Step [0210/0575], COD Loss: 0.7714, OCE Loss: 0.5978
2025-07-05 17:49:24.463887 Epoch [001/050], Step [0220/0575], COD Loss: 0.8036, OCE Loss: 0.5883
2025-07-05 17:49:50.335227 Epoch [001/050], Step [0230/0575], COD Loss: 0.7669, OCE Loss: 0.5818
2025-07-05 17:50:16.214041 Epoch [001/050], Step [0240/0575], COD Loss: 0.7488, OCE Loss: 0.5748
2025-07-05 17:50:42.179645 Epoch [001/050], Step [0250/0575], COD Loss: 0.7486, OCE Loss: 0.5677
2025-07-05 17:51:08.094320 Epoch [001/050], Step [0260/0575], COD Loss: 0.7510, OCE Loss: 0.5613
2025-07-05 17:51:33.981911 Epoch [001/050], Step [0270/0575], COD Loss: 0.7294, OCE Loss: 0.5546
2025-07-05 17:51:59.887271 Epoch [001/050], Step [0280/0575], COD Loss: 0.7558, OCE Loss: 0.5499
2025-07-05 17:52:25.767473 Epoch [001/050], Step [0290/0575], COD Loss: 0.7698, OCE Loss: 0.5441
2025-07-05 17:52:51.663709 Epoch [001/050], Step [0300/0575], COD Loss: 0.7818, OCE Loss: 0.5399
2025-07-05 17:53:17.748053 Epoch [001/050], Step [0310/0575], COD Loss: 0.7581, OCE Loss: 0.5340
2025-07-05 17:53:43.724226 Epoch [001/050], Step [0320/0575], COD Loss: 0.6784, OCE Loss: 0.5245
2025-07-05 17:54:09.675596 Epoch [001/050], Step [0330/0575], COD Loss: 0.6141, OCE Loss: 0.5164
2025-07-05 17:54:35.743998 Epoch [001/050], Step [0340/0575], COD Loss: 0.5512, OCE Loss: 0.5102
2025-07-05 17:55:01.668867 Epoch [001/050], Step [0350/0575], COD Loss: 0.5345, OCE Loss: 0.5036
2025-07-05 17:55:27.665083 Epoch [001/050], Step [0360/0575], COD Loss: 0.5086, OCE Loss: 0.4982
2025-07-05 17:55:53.788349 Epoch [001/050], Step [0370/0575], COD Loss: 0.4825, OCE Loss: 0.4929
2025-07-05 17:56:19.746360 Epoch [001/050], Step [0380/0575], COD Loss: 0.4588, OCE Loss: 0.4842
2025-07-05 17:56:45.806399 Epoch [001/050], Step [0390/0575], COD Loss: 0.4440, OCE Loss: 0.4786
