CUDA_DEVICE=/dev/nvidia/0
Thu Sep 25 12:02:20 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.124.06             Driver Version: 570.124.06     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          Off |   00000000:A1:00.0 Off |                    0 |
| N/A   32C    P0             58W /  400W |       1MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
/var/spool/slurm/job336094/slurm_script: line 17: nvcc: command not found
Module load: anaconda/3-2023.07-2
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/condabin/conda
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/bin/conda
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/bin/conda-env
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/bin/activate
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/bin/deactivate
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/etc/profile.d/conda.sh
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/etc/fish/conf.d/conda.fish
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/shell/condabin/Conda.psm1
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/shell/condabin/conda-hook.ps1
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/lib/python3.11/site-packages/xontrib/conda.xsh
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/etc/profile.d/conda.csh
modified      /home/aaron.dichoso/.bashrc

==> For changes to take effect, close and re-open your current shell. <==

/home/aaron.dichoso/.local/lib/python3.11/site-packages/torch/utils/data/dataloader.py:626: UserWarning: This DataLoader will create 12 worker processes in total. Our suggested max number of worker in current system is 8, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
PyTorch CUDA version: 12.6
Loading data...
1150
Start training...
/home/aaron.dichoso/.local/lib/python3.11/site-packages/torch/nn/_reduction.py:51: UserWarning: size_average and reduce args will be deprecated, please use reduction='mean' instead.
  warnings.warn(warning.format(ret))
2025-09-25 12:03:12.343791 Epoch [001/100], Step [0001/1150], Loss1: 1.7671 Loss2: 1.5263 Loss3: 1.7871
2025-09-25 12:04:14.053526 Epoch [001/100], Step [0050/1150], Loss1: 1.3384 Loss2: 1.1984 Loss3: 1.3077
2025-09-25 12:05:16.832182 Epoch [001/100], Step [0100/1150], Loss1: 1.2130 Loss2: 1.1607 Loss3: 1.1906
2025-09-25 12:06:19.684256 Epoch [001/100], Step [0150/1150], Loss1: 1.1955 Loss2: 1.1464 Loss3: 1.1775
2025-09-25 12:07:22.571347 Epoch [001/100], Step [0200/1150], Loss1: 1.1403 Loss2: 1.1316 Loss3: 1.1231
2025-09-25 12:08:25.367888 Epoch [001/100], Step [0250/1150], Loss1: 1.0974 Loss2: 1.1237 Loss3: 1.0832
2025-09-25 12:09:28.065329 Epoch [001/100], Step [0300/1150], Loss1: 1.0502 Loss2: 1.1198 Loss3: 1.0345
2025-09-25 12:10:30.713738 Epoch [001/100], Step [0350/1150], Loss1: 1.1501 Loss2: 1.1006 Loss3: 1.1498
2025-09-25 12:11:33.332641 Epoch [001/100], Step [0400/1150], Loss1: 1.0013 Loss2: 1.1216 Loss3: 0.9924
2025-09-25 12:12:36.091964 Epoch [001/100], Step [0450/1150], Loss1: 1.0224 Loss2: 1.0894 Loss3: 1.0040
2025-09-25 12:13:38.894228 Epoch [001/100], Step [0500/1150], Loss1: 0.8800 Loss2: 1.1458 Loss3: 0.8586
2025-09-25 12:14:41.702962 Epoch [001/100], Step [0550/1150], Loss1: 0.8951 Loss2: 1.1058 Loss3: 0.8726
2025-09-25 12:15:44.627307 Epoch [001/100], Step [0600/1150], Loss1: 0.9368 Loss2: 1.1365 Loss3: 0.9325
2025-09-25 12:16:47.233785 Epoch [001/100], Step [0650/1150], Loss1: 1.0283 Loss2: 1.0979 Loss3: 1.0166
2025-09-25 12:17:49.736489 Epoch [001/100], Step [0700/1150], Loss1: 0.8359 Loss2: 1.1391 Loss3: 0.8114
2025-09-25 12:18:52.125420 Epoch [001/100], Step [0750/1150], Loss1: 0.8655 Loss2: 1.0817 Loss3: 0.8452
