CUDA_DEVICE=/dev/nvidia/0
Mon Jul 21 12:52:07 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.124.06             Driver Version: 570.124.06     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          Off |   00000000:9B:00.0 Off |                    0 |
| N/A   26C    P0             57W /  400W |       1MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Module load: anaconda/3-2024.10-1
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/condabin/conda
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/bin/conda
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/bin/conda-env
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/bin/activate
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/bin/deactivate
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/etc/profile.d/conda.sh
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/etc/fish/conf.d/conda.fish
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/shell/condabin/Conda.psm1
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/shell/condabin/conda-hook.ps1
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/lib/python3.12/site-packages/xontrib/conda.xsh
no change     /opt/modules/library/cpu/anaconda/3-2024.10-1/etc/profile.d/conda.csh
modified      /home/aaron.dichoso/.bashrc

==> For changes to take effect, close and re-open your current shell. <==

--------------------training----------------------
/home/aaron.dichoso/.conda/envs/RISNet/lib/python3.8/site-packages/torch/utils/data/dataloader.py:560: UserWarning: This DataLoader will create 20 worker processes in total. Our suggested max number of worker in current system is 8, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
[2025-07-21 12:56:09.761070] => [Epoch Num: 001/100] => [Global Step: 0000/1150] => [Loss: 2.7865]
[2025-07-21 12:56:26.296005] => [Epoch Num: 001/100] => [Global Step: 0020/1150] => [Loss: 2.6573]
[2025-07-21 12:56:42.828296] => [Epoch Num: 001/100] => [Global Step: 0040/1150] => [Loss: 2.5451]
[2025-07-21 12:56:59.421141] => [Epoch Num: 001/100] => [Global Step: 0060/1150] => [Loss: 2.4301]
[2025-07-21 12:57:15.870165] => [Epoch Num: 001/100] => [Global Step: 0080/1150] => [Loss: 2.4602]
[2025-07-21 12:57:32.459431] => [Epoch Num: 001/100] => [Global Step: 0100/1150] => [Loss: 2.3476]
[2025-07-21 12:57:48.913018] => [Epoch Num: 001/100] => [Global Step: 0120/1150] => [Loss: 2.3772]
[2025-07-21 12:58:05.647321] => [Epoch Num: 001/100] => [Global Step: 0140/1150] => [Loss: 2.2676]
[2025-07-21 12:58:22.102281] => [Epoch Num: 001/100] => [Global Step: 0160/1150] => [Loss: 2.3420]
[2025-07-21 12:58:38.788357] => [Epoch Num: 001/100] => [Global Step: 0180/1150] => [Loss: 2.3718]
[2025-07-21 12:58:55.251411] => [Epoch Num: 001/100] => [Global Step: 0200/1150] => [Loss: 2.2345]
[2025-07-21 12:59:11.697957] => [Epoch Num: 001/100] => [Global Step: 0220/1150] => [Loss: 2.3062]
[2025-07-21 12:59:28.612787] => [Epoch Num: 001/100] => [Global Step: 0240/1150] => [Loss: 2.1649]
[2025-07-21 12:59:45.096469] => [Epoch Num: 001/100] => [Global Step: 0260/1150] => [Loss: 2.1007]
[2025-07-21 13:00:01.555738] => [Epoch Num: 001/100] => [Global Step: 0280/1150] => [Loss: 2.2484]
[2025-07-21 13:00:18.645049] => [Epoch Num: 001/100] => [Global Step: 0300/1150] => [Loss: 2.1284]
[2025-07-21 13:00:35.135064] => [Epoch Num: 001/100] => [Global Step: 0320/1150] => [Loss: 2.1833]
[2025-07-21 13:00:51.612439] => [Epoch Num: 001/100] => [Global Step: 0340/1150] => [Loss: 2.2094]
[2025-07-21 13:01:08.118076] => [Epoch Num: 001/100] => [Global Step: 0360/1150] => [Loss: 2.1542]
[2025-07-21 13:01:25.018343] => [Epoch Num: 001/100] => [Global Step: 0380/1150] => [Loss: 2.1111]
[2025-07-21 13:01:41.521775] => [Epoch Num: 001/100] => [Global Step: 0400/1150] => [Loss: 2.1535]
[2025-07-21 13:01:58.130668] => [Epoch Num: 001/100] => [Global Step: 0420/1150] => [Loss: 2.0650]
[2025-07-21 13:02:14.864816] => [Epoch Num: 001/100] => [Global Step: 0440/1150] => [Loss: 2.1135]
[2025-07-21 13:02:31.623737] => [Epoch Num: 001/100] => [Global Step: 0460/1150] => [Loss: 2.1429]
[2025-07-21 13:02:49.305901] => [Epoch Num: 001/100] => [Global Step: 0480/1150] => [Loss: 1.9474]
[2025-07-21 13:03:06.092945] => [Epoch Num: 001/100] => [Global Step: 0500/1150] => [Loss: 2.0086]
[2025-07-21 13:03:22.871938] => [Epoch Num: 001/100] => [Global Step: 0520/1150] => [Loss: 2.1747]
[2025-07-21 13:03:39.617863] => [Epoch Num: 001/100] => [Global Step: 0540/1150] => [Loss: 2.0836]
[2025-07-21 13:03:56.379967] => [Epoch Num: 001/100] => [Global Step: 0560/1150] => [Loss: 2.0232]
[2025-07-21 13:04:13.187812] => [Epoch Num: 001/100] => [Global Step: 0580/1150] => [Loss: 1.8836]
[2025-07-21 13:04:31.035645] => [Epoch Num: 001/100] => [Global Step: 0600/1150] => [Loss: 1.8643]
[2025-07-21 13:04:47.788221] => [Epoch Num: 001/100] => [Global Step: 0620/1150] => [Loss: 2.0561]
[2025-07-21 13:05:04.525914] => [Epoch Num: 001/100] => [Global Step: 0640/1150] => [Loss: 2.0056]
[2025-07-21 13:05:21.246496] => [Epoch Num: 001/100] => [Global Step: 0660/1150] => [Loss: 1.9363]
[2025-07-21 13:05:37.966030] => [Epoch Num: 001/100] => [Global Step: 0680/1150] => [Loss: 2.0642]
[2025-07-21 13:05:54.678659] => [Epoch Num: 001/100] => [Global Step: 0700/1150] => [Loss: 1.9866]
[2025-07-21 13:06:11.478677] => [Epoch Num: 001/100] => [Global Step: 0720/1150] => [Loss: 1.8719]
[2025-07-21 13:06:28.281964] => [Epoch Num: 001/100] => [Global Step: 0740/1150] => [Loss: 1.9249]
[2025-07-21 13:06:46.346040] => [Epoch Num: 001/100] => [Global Step: 0760/1150] => [Loss: 1.8641]
[2025-07-21 13:07:02.920824] => [Epoch Num: 001/100] => [Global Step: 0780/1150] => [Loss: 1.7263]
[2025-07-21 13:07:19.467876] => [Epoch Num: 001/100] => [Global Step: 0800/1150] => [Loss: 1.7522]
/home/aaron.dichoso/.conda/envs/RISNet/lib/python3.8/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='mean' instead.
  warnings.warn(warning.format(ret))
[2025-07-21 13:07:35.968290] => [Epoch Num: 001/100] => [Global Step: 0820/1150] => [Loss: 1.8875]
[2025-07-21 13:07:52.478249] => [Epoch Num: 001/100] => [Global Step: 0840/1150] => [Loss: 1.7387]
[2025-07-21 13:08:09.063157] => [Epoch Num: 001/100] => [Global Step: 0860/1150] => [Loss: 1.8780]
[2025-07-21 13:08:25.643056] => [Epoch Num: 001/100] => [Global Step: 0880/1150] => [Loss: 1.7166]
[2025-07-21 13:08:42.169390] => [Epoch Num: 001/100] => [Global Step: 0900/1150] => [Loss: 1.8338]
[2025-07-21 13:08:58.718155] => [Epoch Num: 001/100] => [Global Step: 0920/1150] => [Loss: 1.7713]
[2025-07-21 13:09:17.130085] => [Epoch Num: 001/100] => [Global Step: 0940/1150] => [Loss: 1.6646]
[2025-07-21 13:09:33.702150] => [Epoch Num: 001/100] => [Global Step: 0960/1150] => [Loss: 1.8393]
[2025-07-21 13:09:50.298467] => [Epoch Num: 001/100] => [Global Step: 0980/1150] => [Loss: 1.8447]
[2025-07-21 13:10:07.609575] => [Epoch Num: 001/100] => [Global Step: 1000/1150] => [Loss: 1.8372]
[2025-07-21 13:10:24.799599] => [Epoch Num: 001/100] => [Global Step: 1020/1150] => [Loss: 1.7532]
[2025-07-21 13:10:41.464103] => [Epoch Num: 001/100] => [Global Step: 1040/1150] => [Loss: 1.5941]
[2025-07-21 13:10:58.149331] => [Epoch Num: 001/100] => [Global Step: 1060/1150] => [Loss: 1.6890]
[2025-07-21 13:11:14.881237] => [Epoch Num: 001/100] => [Global Step: 1080/1150] => [Loss: 1.7568]
[2025-07-21 13:11:31.642863] => [Epoch Num: 001/100] => [Global Step: 1100/1150] => [Loss: 1.5418]
[2025-07-21 13:11:48.300042] => [Epoch Num: 001/100] => [Global Step: 1120/1150] => [Loss: 1.6656]
[2025-07-21 13:12:04.837497] => [Epoch Num: 001/100] => [Global Step: 1140/1150] => [Loss: 1.4925]
[2025-07-21 13:12:22.765408] => [Epoch Num: 002/100] => [Global Step: 0000/1150] => [Loss: 1.7276]
[2025-07-21 13:12:41.225857] => [Epoch Num: 002/100] => [Global Step: 0020/1150] => [Loss: 1.7143]
[2025-07-21 13:12:58.817361] => [Epoch Num: 002/100] => [Global Step: 0040/1150] => [Loss: 1.5406]
[2025-07-21 13:13:15.929090] => [Epoch Num: 002/100] => [Global Step: 0060/1150] => [Loss: 1.7251]
[2025-07-21 13:13:32.919150] => [Epoch Num: 002/100] => [Global Step: 0080/1150] => [Loss: 1.4967]
[2025-07-21 13:13:49.903693] => [Epoch Num: 002/100] => [Global Step: 0100/1150] => [Loss: 1.6722]
[2025-07-21 13:14:06.692910] => [Epoch Num: 002/100] => [Global Step: 0120/1150] => [Loss: 1.6485]
[2025-07-21 13:14:23.646085] => [Epoch Num: 002/100] => [Global Step: 0140/1150] => [Loss: 1.6653]
[2025-07-21 13:14:40.421296] => [Epoch Num: 002/100] => [Global Step: 0160/1150] => [Loss: 1.5320]
[2025-07-21 13:14:57.589278] => [Epoch Num: 002/100] => [Global Step: 0180/1150] => [Loss: 1.5055]
[2025-07-21 13:15:14.329801] => [Epoch Num: 002/100] => [Global Step: 0200/1150] => [Loss: 1.6329]
[2025-07-21 13:15:31.089268] => [Epoch Num: 002/100] => [Global Step: 0220/1150] => [Loss: 1.4133]
[2025-07-21 13:15:48.150873] => [Epoch Num: 002/100] => [Global Step: 0240/1150] => [Loss: 1.3641]
[2025-07-21 13:16:05.156567] => [Epoch Num: 002/100] => [Global Step: 0260/1150] => [Loss: 1.3911]
[2025-07-21 13:16:22.181280] => [Epoch Num: 002/100] => [Global Step: 0280/1150] => [Loss: 1.3677]
[2025-07-21 13:16:39.228058] => [Epoch Num: 002/100] => [Global Step: 0300/1150] => [Loss: 1.3994]
[2025-07-21 13:16:56.968238] => [Epoch Num: 002/100] => [Global Step: 0320/1150] => [Loss: 1.4585]
[2025-07-21 13:17:14.010260] => [Epoch Num: 002/100] => [Global Step: 0340/1150] => [Loss: 1.2982]
[2025-07-21 13:17:31.100374] => [Epoch Num: 002/100] => [Global Step: 0360/1150] => [Loss: 1.2444]
[2025-07-21 13:17:48.173365] => [Epoch Num: 002/100] => [Global Step: 0380/1150] => [Loss: 1.5633]
[2025-07-21 13:18:06.053076] => [Epoch Num: 002/100] => [Global Step: 0400/1150] => [Loss: 1.4941]
[2025-07-21 13:18:22.959676] => [Epoch Num: 002/100] => [Global Step: 0420/1150] => [Loss: 1.3297]
[2025-07-21 13:18:39.904598] => [Epoch Num: 002/100] => [Global Step: 0440/1150] => [Loss: 1.4751]
[2025-07-21 13:18:56.886511] => [Epoch Num: 002/100] => [Global Step: 0460/1150] => [Loss: 1.4940]
[2025-07-21 13:19:13.835278] => [Epoch Num: 002/100] => [Global Step: 0480/1150] => [Loss: 1.3261]
[2025-07-21 13:19:31.802354] => [Epoch Num: 002/100] => [Global Step: 0500/1150] => [Loss: 1.6039]
[2025-07-21 13:19:48.736223] => [Epoch Num: 002/100] => [Global Step: 0520/1150] => [Loss: 1.4444]
[2025-07-21 13:20:05.687649] => [Epoch Num: 002/100] => [Global Step: 0540/1150] => [Loss: 1.1847]
[2025-07-21 13:20:22.642562] => [Epoch Num: 002/100] => [Global Step: 0560/1150] => [Loss: 1.3983]
[2025-07-21 13:20:39.597139] => [Epoch Num: 002/100] => [Global Step: 0580/1150] => [Loss: 1.2114]
